1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000019	627.201626	0.000005	619.7
1	-0.271165	623.504937	0.008549	8.5
2	-0.000493	619.865785	0.000103	11.0
3	-0.000002	616.282728	0.000001	14.7
4	-0.138680	612.754375	0.002587	14.1
5	-0.303888	609.279381	0.005660	11.0
6	-1.438112	605.856447	0.026444	8.0
7	-0.000000	602.484317	0.000000	10.1
8	-0.328943	599.161779	0.010034	8.2
9	-0.000000	595.887656	0.000000	10.0
10	-0.253002	592.660813	0.003058	8.8
11	-0.287814	589.480151	0.003406	8.6
12	-0.371544	586.344606	0.009003	8.9
13	-1.774969	583.253145	0.021411	9.0
14	-0.347366	580.204771	0.005935	9.6
15	-1.731580	577.198517	0.020727	9.6
16	-1.377182	574.233444	0.041450	9.5
17	-0.117176	571.308645	0.002864	8.9
18	-0.669214	568.423237	0.025245	13.1
19	-0.071879	565.576365	0.000953	8.5
20	-0.499611	562.767201	0.011534	8.8
21	-1.433659	559.994938	0.025045	8.5
22	-0.548573	557.258797	0.007016	9.7
23	-0.000000	554.558018	0.000000	8.1
24	-0.157946	551.891865	0.002911	8.4
25	-0.014853	549.259621	0.000660	12.3
26	-1.583954	546.660592	0.017987	10.8
27	-1.447207	544.094102	0.011158	8.5
28	-0.000000	541.559494	0.000000	8.9
29	-0.000000	539.056129	0.000000	8.1
30	-1.555041	536.583387	0.013970	8.5
31	-1.551262	534.140663	0.026661	10.7
32	-1.524358	531.727370	0.026408	9.0
33	-0.000079	529.342935	0.000018	8.6
34	-0.000000	526.986802	0.000000	9.6
35	-1.098449	524.658430	0.022973	8.0
36	-0.000001	522.357290	0.000000	10.5
37	-1.284500	520.082868	0.006171	8.5
38	-1.417959	517.834665	0.028549	8.7
39	-0.000476	515.612193	0.000102	8.0
40	-0.691732	513.414976	0.027744	7.5
41	-0.000889	511.242551	0.000163	9.6
42	-0.736087	509.094468	0.009575	8.5
43	-0.017837	506.970285	0.001334	9.7
44	-0.279472	504.869574	0.008827	11.2
45	-0.000058	502.791916	0.000014	8.2
46	-0.562131	500.736903	0.011599	12.4
47	-0.000652	498.704137	0.000143	9.3
48	0.000000	496.693228	0.000000	8.9
49	-1.268923	494.703798	0.031657	8.4
50	-0.854904	492.735476	0.019294	8.7
51	-0.000000	490.787900	0.000000	9.6
52	-0.776545	488.860718	0.011728	9.9
53	-0.337999	486.953585	0.008221	9.2
54	-1.207743	485.066164	0.011221	9.2
55	-0.261794	483.198126	0.009229	8.3
56	-1.652220	481.349149	0.022564	9.7
57	-0.235046	479.518920	0.006965	9.8
58	-0.337069	477.707132	0.001762	8.0
59	-0.050574	475.913485	0.004116	9.6
60	-0.000000	474.137684	0.000000	8.2
61	-0.599472	472.379445	0.006843	10.1
62	-0.040530	470.638485	0.004298	9.3
63	-1.878401	468.914531	0.028417	9.4
