1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.416055	0.000000	16.439565	0.007979	1446.0
1	-0.398239	0.000000	16.439565	0.010315	4.0
2	-0.418996	0.953951	15.725227	0.005313	5.6
3	-0.396258	0.046888	16.402941	0.011782	4.2
4	-0.400929	1.046860	15.658959	0.005701	4.2
5	-0.436356	1.956300	15.038611	0.004713	9.4
6	-0.421662	2.941555	14.419735	0.009791	6.3
7	-0.404293	2.052631	14.975769	0.009770	4.8
8	-0.411864	2.920740	14.432282	0.009062	9.6
9	-0.403031	3.160071	14.289315	0.010599	5.4
10	-0.400619	2.263131	14.840258	0.008368	6.6
11	-0.411680	1.356080	15.442371	0.008835	4.5
12	-0.410983	2.356061	14.781211	0.008677	4.4
13	-0.396808	3.356060	14.174331	0.010412	7.1
14	-0.425248	4.352647	13.617153	0.006978	7.4
15	-0.390304	4.978143	13.289282	0.005310	5.2
16	-0.409065	4.132118	13.736640	0.005150	4.4
17	-0.422110	4.204536	13.697172	0.010356	5.1
18	-0.384008	3.303384	14.205053	0.005569	5.4
19	-0.384220	2.399096	14.754026	0.008945	5.6
20	-0.377746	2.890084	14.450802	0.007856	4.3
21	-0.441695	3.677569	13.989663	0.008336	5.8
22	-0.404252	2.770502	14.523499	0.007112	8.5
23	-0.416414	3.747280	13.950255	0.007856	7.8
24	-0.411969	4.629300	13.470164	0.006603	8.3
25	-0.417197	5.628545	12.964691	0.008443	4.6
26	-0.365938	6.622925	12.497984	0.008880	8.6
27	-0.395530	5.715856	12.922321	0.003183	7.4
28	-0.415149	5.561517	12.997407	0.006294	6.7
29	-0.413192	4.805598	13.378138	0.007406	6.4
30	-0.377560	5.801763	12.880901	0.011226	5.0
31	-0.406156	6.801762	12.417589	0.009632	3.9
32	-0.382697	5.894693	12.836394	0.007197	6.8
33	-0.409245	4.987623	13.284434	0.013827	5.7
34	-0.375014	5.987513	12.792244	0.007222	4.6
35	-0.395065	6.987513	12.335175	0.006567	9.0
36	-0.416624	6.082769	12.747252	0.011532	7.8
37	-0.422378	5.175699	13.188984	0.011686	6.7
38	-0.413084	4.277678	13.657538	0.008223	6.0
39	-0.396182	5.277678	13.137799	0.006042	4.7
40	-0.420815	6.277647	12.656182	0.009032	5.5
41	-0.386667	7.277241	12.208789	0.006692	8.2
42	-0.444190	6.371736	12.612677	0.008669	6.4
43	-0.389355	5.465352	13.044635	0.007162	5.8
44	-0.397180	6.465300	12.569711	0.008650	6.8
45	-0.409806	7.465118	12.128208	0.007632	4.3
46	-0.409686	8.457712	11.719541	0.010677	6.5
47	-0.407366	9.076008	11.478613	0.005897	4.2
48	-0.433799	10.076008	11.109241	0.007442	6.7
49	-0.396762	11.076006	10.762900	0.009081	5.6
50	-0.418129	10.168937	11.076119	0.009916	4.6
51	-0.416783	9.261940	11.408088	0.005764	4.8
52	-0.407901	10.258193	11.044492	0.007657	4.2
53	-0.425507	11.191105	10.724418	0.004920	4.4
54	-0.434694	10.366129	11.006486	0.006086	4.9
55	-0.397831	11.350040	10.671729	0.005004	4.8
56	-0.409794	10.448494	10.977660	0.010749	5.0
57	-0.401117	9.543214	11.303030	0.004829	3.5
58	-0.392568	8.636157	11.648976	0.009646	5.4
59	-0.404164	8.034422	11.890399	0.004845	8.3
60	-0.388422	7.508849	12.109604	0.007514	6.5
61	-0.413429	8.508593	11.699333	0.007076	4.4
62	-0.433308	7.601720	12.070283	0.005803	5.8
63	-0.409479	6.861224	12.391087	0.005273	4.7
64	-0.398433	7.451442	12.134038	0.012827	9.9
65	-0.423925	6.544372	12.533626	0.013732	5.1
66	-0.400020	5.637302	12.960429	0.007182	5.4
67	-0.401093	6.637300	12.491483	0.012853	5.2
